Company_Name,Sector,Revenue_INR,Revenue_Million_EUR,Exiobase_Sector,Factor_Used,Scope3_Biodiversity_MSA,Scope3_Intensity,Scope3_per_Billion_INR,Scope3_Impact_Rank,Scope3_Intensity_Rank
NLC India Limited,Other Business Services,152825914634.14636,1698.065718157182,Other business activities,0.05,84.9032859078591,0.0499999999705547,0.5555555519203375,149,270.0
Atul Limited,Chemicals,50746812291.4792,563.8534699053245,Chemicals nec,0.15,84.57802048579866,0.1499999997339734,1.6666666338238818,150,56.0
BASF India Limited,Other Business Services,151623751271.3301,1684.7083474592234,Other business activities,0.05,84.23541737296118,0.0499999999703212,0.5555555518915152,151,271.0
Shyam Metalics and Energy Limited,Other Business Services,151374887000.43402,1681.9431888937113,Other business activities,0.05,84.09715944468557,0.0499999999702724,0.5555555518854914,152,272.0
APL Apollo Tubes,Other Business Services,150000000000.0,1666.6666666666667,Other business activities,0.05,83.33333333333334,0.05,0.5555555555555556,153,139.0
Prestige Estates Projects Limited,Real Estate,73494142492.99542,816.6015832555047,Construction,0.1,81.66015832555047,0.0999999998775412,1.1111110959927486,154,126.0
Canara Bank,Financial Services,1422142372655.9385,15801.581918399315,"Financial intermediation, except insurance and pension funding",0.005,79.0079095919966,0.0049999999996835,0.0555555555164908,155,572.0
Ajanta Pharma Limited,Pharmaceuticals,46480911934.38521,516.4545770487246,Chemicals nec,0.15,77.46818655730868,0.1499999997095581,1.6666666308096547,156,57.0
PUNJAB NATIONAL BANK,Financial Services,1380712803612.84,15341.253373476002,"Financial intermediation, except insurance and pension funding",0.005,76.70626686738001,0.004999999999674,0.0555555555153186,157,573.0
Quess Corp Limited,Other Business Services,137919891008.17438,1532.4432334241596,Other business activities,0.05,76.62216167120799,0.0499999999673723,0.5555555515274524,158,273.0
MACROTECH DEVELOPERS LIMITED,Other Business Services,137799989600.66556,1531.1109955629506,Other business activities,0.05,76.55554977814754,0.0499999999673439,0.5555555515239475,159,274.0
Gujarat Fluorochemicals Limited,Chemicals,45645456061.65676,507.1717340184085,Chemicals nec,0.15,76.07576010276127,0.1499999997042422,1.666666630153358,160,58.0
CEAT Limited,Other Business Services,131716692857.23717,1463.5188095248575,Other business activities,0.05,73.17594047624287,0.0499999999658357,0.5555555513377488,161,275.0
JAIPRAKASH POWER VENTURES LIMITED,Power,54622012735.99906,606.9112526222118,Production of electricity by coal,0.12,72.82935031466542,0.1199999998022775,1.3333333089231507,162,80.0
UNION BANK OF INDIA,Financial Services,1275431762065.0957,14171.464022945507,"Financial intermediation, except insurance and pension funding",0.005,70.85732011472754,0.0049999999996471,0.0555555555119973,163,574.0
MOIL Limited,Oil & Gas,15849409434.73797,176.10454927486634,Mining of coal and lignite; extraction of peat,0.4,70.44181970994654,0.399999997728622,4.444444164027425,164,31.0
JSW Energy Limited,Other Business Services,126394938352.25972,1404.388203913997,Other business activities,0.05,70.21941019569985,0.0499999999643973,0.5555555511601616,165,276.0
JK LAKSHMI CEMENT LIMITED,Cement,62456975697.58873,693.9663966398748,Construction,0.1,69.39663966398749,0.0999999998559008,1.1111110933210873,166,127.0
Uno Minda Limited,Other Business Services,124556561027.22562,1383.9617891913958,Other business activities,0.05,69.1980894595698,0.0499999999638718,0.5555555510952884,167,277.0
DCM Shriram Limited,Other Business Services,123688064437.3932,1374.3118270821467,Other business activities,0.05,68.71559135410733,0.0499999999636181,0.5555555510639697,168,278.0
GLAND PHARMA LIMITED,Pharmaceuticals,41161484539.96763,457.34982822186254,Chemicals nec,0.15,68.60247423327938,0.1499999996720235,1.6666666261757406,169,59.0
NATCO Pharma Limited,Pharmaceuticals,40945055199.77219,454.94505777524654,Chemicals nec,0.15,68.24175866628698,0.1499999996702898,1.666666625961712,170,60.0
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,Chemicals,40509089277.64959,450.10099197388433,Chemicals nec,0.15,67.51514879608264,0.1499999996667414,1.666666625523638,171,61.0
Airports Authority of India (AAI),Other Business Services,120000000000.0,1333.3333333333333,Other business activities,0.05,66.66666666666667,0.05,0.5555555555555556,172,139.0
