Company_Name,BSE_Code,NSE_Symbol,Sector,Market_Cap_Cr,Revenue_Cr,Website,Source
Sona BLW Precision Forgings Ltd.,SONACOMS,SONACOMS,Automobiles & Auto Components,37438.339359489,14975.34,,Original
Exide Industries Ltd.,EXIDEIND,EXIDEIND,Automobiles & Auto Components,33779.3770325205,13511.75,,Original
Apollo Tyres Ltd.,APOLLOTYRE,APOLLOTYRE,Automobiles & Auto Components,31306.685858525503,12522.67,,Original
Motherson Sumi Wiring India Ltd.,MSUMI,MSUMI,Automobiles & Auto Components,30099.8108401975,12039.92,,Original
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,ZFCVINDIA,Automobiles & Auto Components,28768.7841992,11507.51,,Original
Endurance Technologies Ltd.,ENDURANCE,ENDURANCE,Automobiles & Auto Components,28618.87798393,11447.55,,Original
Sundram Fasteners Ltd.,SUNDRMFAST,SUNDRMFAST,Automobiles & Auto Components,24435.8435997205,9774.34,,Original
JBM Auto Ltd.,JBMA,JBMA,Automobiles & Auto Components,22855.2778598365,9142.11,,Original
CIE Automotive India Ltd.,CIEINDIA,CIEINDIA,Automobiles & Auto Components,18697.027522367,7478.81,,Original
Amara Raja Energy & Mobility Ltd.,ARE&M,ARE&M,Automobiles & Auto Components,17575.8582869085,7030.34,,Original
Olectra Greentech Ltd.,OLECTRA,OLECTRA,Automobiles & Auto Components,14578.309484984,5831.32,,Original
Asahi India Glass Ltd.,ASAHIINDIA,ASAHIINDIA,Automobiles & Auto Components,13966.2691236015,5586.51,,Original
Ramkrishna Forgings Ltd.,RKFORGE,RKFORGE,Automobiles & Auto Components,13297.569996402,5319.03,,Original
JK Tyre & Industries Ltd.,JKTYRE,JKTYRE,Automobiles & Auto Components,11367.7233849135,4547.09,,Original
Ceat Ltd.,CEATLTD,CEATLTD,Automobiles & Auto Components,10430.6203215545,4172.25,,Original
Minda Corporation Ltd.,MINDACORP,MINDACORP,Automobiles & Auto Components,9970.524232198,3988.21,,Original
Force Motors Ltd.,FORCEMOT,FORCEMOT,Automobiles & Auto Components,9739.907028628,3895.96,,Original
Craftsman Automation Ltd.,CRAFTSMAN,CRAFTSMAN,Automobiles & Auto Components,9422.107583605,3768.84,,Original
Varroc Engineering Ltd.,VARROC,VARROC,Automobiles & Auto Components,8339.050172244,3335.62,,Original
Shriram Pistons & Rings Ltd.,544344,SHRIPISTON,Automobiles & Auto Components,8063.0,3225.2,,Original
ASK Automotive Ltd.,ASKAUTOLTD,ASKAUTOLTD,Automobiles & Auto Components,5954.1088352315,2381.64,,Original
Sansera Engineering Ltd.,SANSERA,SANSERA,Automobiles & Auto Components,5596.7878325705005,2238.72,,Original
Gabriel India Ltd.,GABRIEL,GABRIEL,Automobiles & Auto Components,5340.6247947715,2136.25,,Original
Pricol Ltd.,PRICOLLTD,PRICOLLTD,Automobiles & Auto Components,5023.9851055785,2009.59,,Original
Jamna Auto Industries Ltd.,JAMNAAUTO,JAMNAAUTO,Automobiles & Auto Components,4960.0303104915,1984.01,,Original
Banco Products (India) Ltd.,BANCOINDIA,BANCOINDIA,Automobiles & Auto Components,4546.6898130945,1818.68,,Original
Sharda Motor Industries Ltd.,SHARDAMOTR,SHARDAMOTR,Automobiles & Auto Components,4398.165881805,1759.27,,Original
Lumax Auto Technologies Ltd.,LUMAXTECH,LUMAXTECH,Automobiles & Auto Components,3117.632337387,1247.05,,Original
