Company_Name,Sector,City,State,Base_MSA_Loss,Sector_EIF,Weighted_MSA_Loss,Data_Tier,Confidence,Revenue_Cr,MSA_Intensity,Scope3_Biodiversity_MSA,Exiobase_Sector,Factor_Used,Sector_Original,Revenue_INR,Revenue_Million_EUR,Scope3_Intensity,Scope3_per_Billion_INR,Scope3_Impact_Rank,Scope3_Intensity_Rank
Bikaji Foods International Limited,Other Business Services,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,253686.2599995024,0.002932756389729,0.00014093681111083465,Other business activities,0.05,Chemicals & Fertilizers,253686.2599995024,0.002818736222216693,0.04998226784491185,0.5533742225085484,427.0,380.0
Biocon Limited,Oil & Gas,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,24848.999999971293,0.023180007243779,0.00011043999999987241,Mining of coal and lignite; extraction of peat,0.4,Chemicals & Fertilizers,24848.999999971293,0.000276099999999681,0.3985564778058446,4.272505706216684,430.0,22.0
Birla Corporation Limited,Other Business Services,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,92144970856.62083,6.7719376781935795e-09,51.19165047590047,Other business activities,0.05,Chemicals & Fertilizers,92144970856.62083,1023.8330095180092,0.049999999951163915,0.555555549526409,143.0,154.0
Birlasoft Limited,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,26578495982.666782,2.6186583336163853e-08,14.765831101481547,Other business activities,0.05,Chemicals & Fertilizers,26578495982.666782,295.31662202963093,0.049999999830690194,0.5555555346531111,273.0,259.0
Blue Dart Express Limited,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,57201832191.007866,9.440257056746656e-09,31.778795661671037,Other business activities,0.05,Chemicals & Fertilizers,57201832191.007866,635.5759132334207,0.049999999921331195,0.5555555458433571,187.0,188.0
Blue Star Limited,Media & Entertainment,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,113255169540.94807,4.45012799012036e-09,62.91953863386004,Other business activities,0.05,Chemicals & Fertilizers,113255169540.94807,1258.3907726772009,0.04999999996026671,0.5555555506502117,123.0,140.0
Bosch limited,Other Business Services,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,181725000000.0,3.3677259595542714e-09,100.95833333333334,Other business activities,0.05,Chemicals & Fertilizers,181725000000.0,2019.1666666666667,0.04999999997523731,0.5555555524984334,88.0,123.0
Brigade Enterprises Limited,Other Business Services,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,50742077109.48834,1.30069567033271e-08,28.19004283860464,Other business activities,0.05,Chemicals & Fertilizers,50742077109.48834,563.8008567720927,0.049999999911316206,0.5555555446069391,205.0,205.0
Britannia Industries Limited,FMCG / Consumer Goods,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,172958660372.99524,4.301605935172726e-09,960.8814465166403,Food products nec,0.5,Chemicals & Fertilizers,172958660372.99524,1921.7628930332805,0.4999999997398222,5.555555523434843,16.0,3.0
CCL Products India Limited,Other Business Services,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,17179971000.960392,3.352741398502946e-08,9.544428333866884,Other business activities,0.05,Chemicals & Fertilizers,17179971000.960392,190.88856667733768,0.04999999973806708,0.5555555232181596,332.0,314.0
CE INFO SYSTEMS LIMITED,Other Business Services,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,38386.9999989087,0.0162555031655961,2.1326111110504836e-05,Other business activities,0.05,Chemicals & Fertilizers,38386.9999989087,0.00042652222221009666,0.04988304701509662,0.5414505067940113,446.0,393.0
