Company_Name,NSE_Symbol,Sector,Market_Cap_Cr,XBRL_URL,Submission_Date,Download_Success,Filepath,File_Size_KB
Dhanuka Agritech Ltd.,DHANUKA,Chemicals & Fertilizers,5662.8176688275,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1477766_05072025043853_WEB.xml,05-Jul-2025,True,data\brsr_xbrl\DHANUKA_Dhanuka Agritech Ltd_BRSR.xml,709.798828125
Rallis India Ltd.,RALLIS,Chemicals & Fertilizers,5217.134149322001,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1513886_14082025115737_WEB.xml,14-Aug-2025,True,data\brsr_xbrl\RALLIS_Rallis India Ltd_BRSR.xml,780.6162109375
National Fertilizers Ltd.,NFL,Chemicals & Fertilizers,5156.174954566,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1521258_02092025014541_WEB.xml,02-Sep-2025,True,data\brsr_xbrl\NFL_National Fertilizers Ltd_BRSR.xml,668.4560546875
GHCL Ltd.,GHCL,Chemicals & Fertilizers,4991.5457508035,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1471416_25062025110132_WEB.xml,25-Jun-2025,True,data\brsr_xbrl\GHCL_GHCL Ltd_BRSR.xml,777.3359375
Epigral Ltd.,EPIGRAL,Chemicals & Fertilizers,4912.965656209,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466874_16062025121401_WEB.xml,16-Jun-2025,True,data\brsr_xbrl\EPIGRAL_Epigral Ltd_BRSR.xml,712.1376953125
Privi Speciality Chemicals Ltd.,PRIVISCL,Chemicals & Fertilizers,4578.917368027,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1477841_05072025082134_WEB.xml,05-Jul-2025,True,data\brsr_xbrl\PRIVISCL_Privi Speciality Chemicals Ltd_BRSR.xml,711.0869140625
Sudarshan Chemical Industries Ltd.,SUDARSCHEM,Chemicals & Fertilizers,4531.2009560975,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1523951_05092025082509_WEB.xml,05-Sep-2025,True,data\brsr_xbrl\SUDARSCHEM_Sudarshan Chemical Industries _BRSR.xml,925.0205078125
NEOGEN CHEMICALS LTD.,NEOGEN,Chemicals & Fertilizers,3747.7980756035,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1522478_03092025080033_WEB.xml,03-Sep-2025,True,data\brsr_xbrl\NEOGEN_NEOGEN CHEMICALS LTD_BRSR.xml,679.455078125
Sharda Cropchem Ltd.,SHARDACROP,Chemicals & Fertilizers,3501.924916714,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1481864_14072025122634_WEB.xml,14-Jul-2025,True,data\brsr_xbrl\SHARDACROP_Sharda Cropchem Ltd_BRSR.xml,670.421875
Styrenix Performance Materials Ltd.,STYRENIX,Chemicals & Fertilizers,2846.6810407775,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1506299_07082025115345_WEB.xml,07-Aug-2025,True,data\brsr_xbrl\STYRENIX_Styrenix Performance Materials_BRSR.xml,718.1015625
