Company_Name,Sector,Revenue_INR,Revenue_Million_EUR,Exiobase_Sector,Factor_Used,Scope3_Biodiversity_MSA,Scope3_Intensity,Scope3_per_Billion_INR,Scope3_Impact_Rank,Scope3_Intensity_Rank
Mukand,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,396,139.0
S Kumars Nationwide,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,397,139.0
Trident Limited,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,398,139.0
Welspun India,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,399,139.0
CCL Products (India) Limited,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,400,139.0
ITC Limited (Paperboards Division),Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,401,139.0
Vistara (TATA SIA Airlines),Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,402,139.0
Nestle India,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,376,139.0
Shreyans Industries (Paper),Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,377,139.0
Siyaram Silk Mills,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,374,139.0
Mahindra Holidays & Resorts India Limited,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,359,139.0
Britannia Industries,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,347,139.0
Hatsun Agro Products,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,348,139.0
Bombay Dyeing,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,349,139.0
JK Paper,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,350,139.0
Kwality,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,351,139.0
K.P.R. MILL LIMITED,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,353,139.0
Bharat Heavy Electricals Limited (BHEL),Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,354,139.0
Mother Dairy,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,373,139.0
KPR Mill,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,356,139.0
Haldiram,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,357,139.0
Bangalore International Airport Ltd (BIAL),Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,358,139.0
Larsen  Toubro Limited,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,355,139.0
Ion Exchange (India) Limited,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,360,139.0
GVK Mumbai Airport,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,368,139.0
