Company_Name,Sector,Revenue_Cr
Vinati Organics Limited,Unknown,0
VIP INDUSTRIES LIMITED,Unknown,0
Vodafone Idea Limited,Unknown,0
Voltamp Transformers Limited,Unknown,0
Voltas Limited,Unknown,0
Waaree Renewable Technologies Limited,Unknown,0
Welspun Corp Limited,Unknown,0
Welspun Living Limited,Unknown,0
Whirlpool of India Limited,Unknown,0
Wipro Limited,Unknown,0
Wockhardt Limited,Unknown,0
YES Bank Limited,Unknown,0
Zee Entertainment Enterprises Limited,Unknown,0
ZENSAR TECHNOLOGIES LIMITED,Unknown,0
Zen Technologies Limited,Unknown,0
ZF Commercial Vehicle Control Systems India Limited,Unknown,0
Zydus Lifesciences Limited,Unknown,0
Zydus Wellness Limited,Unknown,0
