Company_Name,Indicator_ID,Indicator_Name,Value,Unit,Dimension,Data_Source,XBRL_Tag,Data_Tier,Confidence,FY_Year,Verification,Calculation_Method,Tolerance,Within_Tolerance
Adani Energy Solutions Limited,1.4_total_energy_non_renewable,Total Energy from Non-Renewable Sources,20201629.0,GJ,1. Climate & Atmosphere,BRSR_XBRL,TotalEnergyConsumedFromNonRenewableSources,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,1.4_total_energy,Total Energy Consumption,20257972.0,GJ,1. Climate & Atmosphere,BRSR_XBRL,TotalEnergyConsumedFromRenewableAndNonRenewableSources,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,1.4_energy_intensity,Energy Intensity,8.28664e-05,GJ/Rs Cr,1. Climate & Atmosphere,BRSR_XBRL,EnergyIntensityPerRupeeOfTurnover,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,2.1_water_withdrawal,Total Water Withdrawal,257504976.0,KL,2. Freshwater,BRSR_XBRL,TotalVolumeOfWaterWithdrawal,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,2.2_water_discharged,Total Water Discharged,129460678.0,KL,2. Freshwater,BRSR_XBRL,TotalWaterDischargedInKilolitres,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,2.3_water_intensity,Water Intensity,4.2106e-06,KL/Rs Cr,2. Freshwater,BRSR_XBRL,WaterIntensityPerRupeeOfTurnover,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,5.1_hazardous_air_pollutants,Hazardous Air Pollutants,0.0,tonnes,5. Pollution,BRSR_XBRL,HazardousAirPollutants,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,5.2_total_waste_generated,Total Waste Generated,3789.36,tonnes,5. Pollution,BRSR_XBRL,TotalWasteGenerated,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,5.2_total_waste_recovered,Total Waste Recovered,3770.83,tonnes,5. Pollution,BRSR_XBRL,TotalWasteRecovered,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,5.2_total_waste_disposed,Total Waste Disposed,18.54,tonnes,5. Pollution,BRSR_XBRL,TotalWasteDisposed,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,5.2_waste_recycled,Waste Recycled,3760.64,tonnes,5. Pollution,BRSR_XBRL,WasteRecoveredThroughRecycled,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,5.2_waste_reused,Waste Reused,7.3,tonnes,5. Pollution,BRSR_XBRL,WasteRecoveredThroughReUsed,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,5.2_plastic_waste,Plastic Waste Generated,31.25,tonnes,5. Pollution,BRSR_XBRL,PlasticWaste,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
