Company_Name,Sector,Facilities_Extracted,Estimated_Total_Facilities,Missing_Facilities,Facility_Types_Expected
Lemon Tree Hotels Limited,Consumer Services,2,12,10,"['Store', 'Office', 'Warehouse', 'Distribution Center']"
VALOR ESTATE LIMITED,Consumer Services,2,12,10,"['Store', 'Office', 'Warehouse', 'Distribution Center']"
Sheela Foam Limited,Consumer Durables,3,7,4,"['Factory', 'Office', 'Warehouse', 'Store']"
ALKYL AMINES CHEMICALS LIMITED,Chemicals,4,7,3,"['Plant', 'Office', 'Warehouse', 'R&D']"
CITY UNION BANK LIMITED,Financial Services,2,24,22,"['Branch', 'Office', 'Data Center']"
RATTANINDIA ENTERPRISES LIMITED,Consumer Services,2,12,10,"['Store', 'Office', 'Warehouse', 'Distribution Center']"
INOX India Limited,Capital Goods,2,5,3,"['Office', 'Facility']"
RELIANCE POWER LIMITED,Power,1,12,11,"['Power Plant', 'Substation', 'Office']"
Zydus Wellness Limited,Fast Moving Consumer Goods,2,16,14,"['Factory', 'Warehouse', 'Distribution Center', 'Office']"
GRANULES INDIA LIMITED,Healthcare,3,8,5,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
Caplin Point Laboratories Limited,Healthcare,1,6,5,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
GODREJ AGROVET LIMITED,Fast Moving Consumer Goods,2,16,14,"['Factory', 'Warehouse', 'Distribution Center', 'Office']"
