Company_Name,NSE_Symbol,Sector,XBRL_URL,Download_Success,Status,File_Size_KB
YES Bank Limited,YESBANK,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1494624_26072025075744_WEB.xml,True,Success,804.6982421875
SRF LIMITED,SRF,Chemicals,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467807_18062025092444_WEB.xml,True,Success,738.009765625
Marico Limited,MARICO,Fast Moving Consumer Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1481442_12072025111928_WEB.xml,True,Success,847.4091796875
Hindustan Petroleum Corporation Limited,HINDPETRO,Oil Gas & Consumable Fuels,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1495835_28072025091204_WEB.xml,True,Success,990.583984375
Godrej Properties Limited,GODREJPROP,Realty,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1477493_04072025064714_WEB.xml,True,Success,932.5166015625
NMDC Limited,NMDC,Metals & Mining,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1515128_20082025025901_WEB.xml,True,Success,895.8271484375
Indian Bank,INDIANB,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1450585_25052025034839_WEB.xml,True,Success,766.3671875
SBI Cards and Payment Services Limited,SBICARD,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1499670_31072025084848_WEB.xml,True,Success,811.8359375
Oracle Financial Services Software Limited,OFSS,Information Technology,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1473714_27062025072746_WEB.xml,True,Success,679.0791015625
AUROBINDO PHARMA LIMITED,AUROPHARMA,Healthcare,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1512809_14082025034918_WEB.xml,True,Success,917.4267578125
UCO BANK,UCOBANK,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1452513_27052025023234_WEB.xml,True,Success,686.5458984375
General Insurance Corporation of India,GICRE,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1521092_01092025111605_WEB.xml,True,Success,748.408203125
Torrent Power Limited,TORNTPOWER,Power,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1480458_10072025072849_WEB.xml,True,Success,856.6513671875
MUTHOOT FINANCE LIMITED,MUTHOOTFIN,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1507638_08082025085433_WEB.xml,True,Success,749.2109375
Oil India Limited,OIL,Oil Gas & Consumable Fuels,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1517800_26082025053527_WEB.xml,True,Success,803.8486328125
Bharat Forge Limited,BHARATFORG,Automobile and Auto Components,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1482972_15072025024419_WEB.xml,True,Success,813.4150390625
BANK OF INDIA,BANKINDIA,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1465596_11062025055141_WEB.xml,True,Success,820.7578125
Alkem Laboratories Limited,ALKEM,Healthcare,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1489948_21072025112238_WEB.xml,True,Success,822.0419921875
Persistent Systems Limited,PERSISTENT,Information Technology,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1470840_25062025014936_WEB.xml,True,Success,830.0263671875
Rail Vikas Nigam Limited,RVNL,Construction,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1504681_07082025124550_WEB.xml,True,Success,881.158203125
