Company_Name,Battery Waste,Biomedical Waste,E-Waste Generated,Energy Intensity,Hazardous Air Pollutants,Plastic Waste Generated,Radioactive Waste,Scope 1 GHG Emissions,Scope 2 GHG Emissions,Scope 3 GHG Emissions,Total Energy Consumption,Total Energy from Non-Renewable Sources,Total Energy from Renewable Sources,Total Waste Disposed,Total Waste Generated,Total Waste Recovered,Total Water Discharged,Total Water Withdrawal,Waste Intensity,Waste Recycled,Waste Reused,Water Intensity,Land_Footprint_Hectares_x,Biodiversity_MSA_Loss,Sector,Data_Tier,Land_Footprint_Hectares_y,Total_Indicators,Data_Completeness_Pct
RATTANINDIA ENTERPRISES LIMITED,0.0,0.0,0.0,0.000827762,,0.0,0.0,,,,56837.0,0.0,56837.0,0.0,0.0,0.0,0.0,16.59,0.0,0.0,0.0,0.0,5.0,0.576,Chemicals & Fertilizers,Tier 2,5.0,21,84.0
RBL Bank Limited,0.0,0.0,0.0,4.644e-07,,0.0,0.0,120.0,9282.0,,47693.0,47693.0,0.0,0.0,0.0,0.0,141224.0,176529.0,0.0,0.0,0.0,3.438e-07,0.1,0.0052,Financial Services,Tier 2,0.1,23,92.0
REC Limited,0.0,0.0,1.5,3.09e-08,0.0,0.0,0.0,306.46,1876.53,10752.0,17402.0,12438.0,4964.0,0.0,42.18,42.18,7389.0,27565.48,1e-10,21.3,0.0,3.58e-08,0.1,0.696,Chemicals & Fertilizers,Tier 2,0.1,25,100.0
RELIANCE POWER LIMITED,16.6,0.09,9.68,0.0088444098,0.0,0.57,0.0,32965431.0,0.0,,670661866.0,373196554.0,297465312.0,101356803.76,103671661.37,234.61,0.0,74005015.0,0.0013671788,234.11,0.0,0.0009757461,100.0,0.9,Oil & Gas,Tier 2,100.0,24,96.0
RHI Magnesita India Ltd,4.0,0.0,6.86,2.93821e-05,0.0,291.24,0.0,31613.36,23535.93,,849687.85,847435.79,2252.06,1321.05,2249.982,0.0,570.59,71197.11,7.78e-08,0.0,0.0,2.462e-06,5.0,0.504,Chemicals & Fertilizers,Tier 2,5.0,24,96.0
RITES Limited,0.21,0.0,2.9,7.826498227,0.0,0.0,0.0,230.26,2615.0,,16398.94,16258.94,140.0,0.0,3.46,3.46,18022.0,22527.0,0.001651307,3.46,0.0,10.7511537672,1.0,0.612,Chemicals & Fertilizers,Tier 2,1.0,24,96.0
Radico Khaitan Limited,0.0,0.013,0.0,2.47033e-05,0.0,202.54,0.0,90357.0,16003.0,,4223897.0,862120.0,3361777.0,28026.17,28026.183,25083.925,0.0,1299698.39,1.639e-07,0.0,55.725,7.6012e-06,3.0,0.66,Chemicals & Fertilizers,Tier 2,3.0,24,96.0
Rail Vikas Nigam Limited,0.0,0.0,0.22,2.98e-08,,0.0,0.0,12.25,1120.83,347.23,5916.91,5697.94,218.97,1010.8,1011.6,0.79,1496.73,32449.1,5.1e-09,0.64,0.0,1.558e-07,1.0,0.744,Chemicals & Fertilizers,Tier 2,1.0,24,96.0
Railtel Corporation of India Limited,85.24,0.0,1.403,1.7814e-06,,0.0,0.0,684.41,11321.83,,61948.03,61948.03,0.0,86.64,86.643,0.0,9557.19,9557.19,2.5e-09,0.0,0.0,2.748e-07,0.2,0.576,Chemicals & Fertilizers,Tier 2,0.2,23,92.0
Ramkrishna Forgings Limited,33.712,0.018,8.622,3.6392e-05,0.0,0.0,0.0,27350.74,177123.7,,1322593.0,1291447.0,31146.0,214.074,309.099,95.007,10100.0,345614.0,8.5e-09,95.007,0.0,9.5098e-06,10.0,0.624,Chemicals & Fertilizers,Tier 2,10.0,24,96.0
