Company_Name,Sector,Location_Type,NumberOfLocations,Scope3_Relevance,Scope3_Factor,Note
Nuvoco Vistas Corporation Limited,Construction Materials,Distribution/Service Location,68,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Oberoi Realty Limited,Realty,Distribution/Service Location,13,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Oil India Limited,Oil Gas & Consumable Fuels,Distribution/Service Location,152,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Olectra Greentech Limited,Automobile and Auto Components,Distribution/Service Location,2,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Page Industries Limited,Textiles,Distribution/Service Location,3,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
PATANJALI FOODS LIMITED,Fast Moving Consumer Goods,Retail Store,24,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
Pidilite Industries Limited,Chemicals,Distribution/Service Location,30,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Piramal Pharma Limited,Healthcare,Clinic/Pharmacy,8,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
PI INDUSTRIES LIMITED,Chemicals,Distribution/Service Location,2,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Polycab India Limited,Capital Goods,Distribution/Service Location,59,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
POLY MEDICURE LIMITED,Healthcare,Clinic/Pharmacy,8,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
Poonawalla Fincorp Limited,Financial Services,Bank Branch,100,High,0.5,These locations are outside BRSR scope but relevant for Scope 3
Power Grid Corporation of India Limited,Power,Distribution/Service Location,280,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Praj Industries Limited,Capital Goods,Distribution/Service Location,6,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Prism Johnson Limited,Construction Materials,Distribution/Service Location,217,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
PVR INOX LIMITED,Media Entertainment & Publication,Distribution/Service Location,349,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Radico Khaitan Limited,Fast Moving Consumer Goods,Retail Store,43,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
Ramkrishna Forgings Limited,Automobile and Auto Components,Distribution/Service Location,8,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
