Company_Name,Indicator_ID,Indicator_Name,Dimension,Value,Unit,Data_Source,XBRL_Tag,Data_Tier,Confidence,FY_Year,Source_File,Verification,Calculation_Method,Tolerance,Within_Tolerance
ALEMBIC PHARMACEUTICALS LIMITED,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,1.1193e-05,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,ALEMBIC_PHARMACEUTICALS_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ALEMBIC PHARMACEUTICALS LIMITED,5.1_nox_emissions,NOx Emissions,5. Pollution & Waste,38.28,kg,BRSR_XBRL,in-capmkt:NOx,1,95,FY2024-25,ALEMBIC_PHARMACEUTICALS_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ALEMBIC PHARMACEUTICALS LIMITED,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,105.98,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,ALEMBIC_PHARMACEUTICALS_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ALEMBIC PHARMACEUTICALS LIMITED,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,48.04,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,ALEMBIC_PHARMACEUTICALS_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ALEMBIC PHARMACEUTICALS LIMITED,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,227.92,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,ALEMBIC_PHARMACEUTICALS_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Alkem Laboratories Limited,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,6.2215e-06,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,Alkem_Laboratories_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Alkem Laboratories Limited,5.1_nox_emissions,NOx Emissions,5. Pollution & Waste,40.0,kg,BRSR_XBRL,in-capmkt:NOx,1,95,FY2024-25,Alkem_Laboratories_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Alkem Laboratories Limited,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,35.0,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,Alkem_Laboratories_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Alkem Laboratories Limited,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,89.0,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,Alkem_Laboratories_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Alkem Laboratories Limited,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,1528.0,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,Alkem_Laboratories_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ALKYL AMINES CHEMICALS LIMITED,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,5.64358e-05,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,ALKYL_AMINES_CHEMICALS_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ALKYL AMINES CHEMICALS LIMITED,5.1_nox_emissions,NOx Emissions,5. Pollution & Waste,19.0,kg,BRSR_XBRL,in-capmkt:NOx,1,95,FY2024-25,ALKYL_AMINES_CHEMICALS_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ALKYL AMINES CHEMICALS LIMITED,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,21.0,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,ALKYL_AMINES_CHEMICALS_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ALKYL AMINES CHEMICALS LIMITED,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,77.0,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,ALKYL_AMINES_CHEMICALS_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ALKYL AMINES CHEMICALS LIMITED,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,86.12,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,ALKYL_AMINES_CHEMICALS_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ALOK INDUSTRIES LIMITED,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,327.1511664752,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,ALOK_INDUSTRIES_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
