Company_Name,BSE_Code,NSE_Symbol,Sector,Market_Cap_Cr,Revenue_Cr,Website
Hindustan Petroleum Corporation Ltd.,HINDPETRO,HINDPETRO,Oil & Gas,70340.0768072085,28136.03,
Oil India Ltd.,OIL,OIL,Oil & Gas,61802.0006958815,24720.8,
Petronet LNG Ltd.,PETRONET,PETRONET,Oil & Gas,42441.4341716735,16976.57,
Gujarat Gas Ltd.,GUJGASLTD,GUJGASLTD,Oil & Gas,38506.4351874925,15402.57,
Mangalore Refinery & Petrochemicals Ltd.,MRPL,MRPL,Oil & Gas,36764.481367443004,14705.79,
Indraprastha Gas Ltd.,IGL,IGL,Oil & Gas,31072.180356097502,12428.87,
Castrol India Ltd.,CASTROLIND,CASTROLIND,Oil & Gas,19543.4234276775,7817.37,
Gujarat State Petronet Ltd.,GSPL,GSPL,Oil & Gas,18754.410955626998,7501.76,
Aegis Logistics Ltd.,AEGISLOG,AEGISLOG,Oil & Gas,18251.5071341465,7300.6,
Mahanagar Gas Ltd.,MGL,MGL,Oil & Gas,13688.141673029499,5475.26,
Chennai Petroleum Corporation Ltd.,CHENNPETRO,CHENNPETRO,Oil & Gas,13449.967147512001,5379.99,
Sandur Manganese & Iron Ores Ltd.,SANDUMA,SANDUMA,Oil & Gas,7760.89320127,3104.36,
Gulf Oil Lubricants India Ltd.,GULFOILLUB,GULFOILLUB,Oil & Gas,4594.38820297,1837.76,
Aegis Vopak Terminals Ltd.,544407,AEGISVOPAK,Oil & Gas,0.0,0.0,
Varun Beverages Ltd.,VBL,VBL,Agriculture & Food Processing,185148.43125901947,74059.37,
Patanjali Foods Ltd.,PATANJALI,PATANJALI,Agriculture & Food Processing,53991.7891896005,21596.72,
AWL Agri Business Ltd.,AWL,AWL,Agriculture & Food Processing,45448.9879817565,18179.6,
Bikaji Foods International Ltd.,BIKAJI,BIKAJI,Agriculture & Food Processing,14056.738657262,5622.7,
Shree Renuka Sugars Ltd.,RENUKA,RENUKA,Agriculture & Food Processing,9590.980645223499,3836.39,
LT Foods Ltd.,LTFOODS,LTFOODS,Agriculture & Food Processing,7152.3089588935,2860.92,
Mrs. Bectors Food Specialities Ltd.,BECTORFOOD,BECTORFOOD,Agriculture & Food Processing,6989.289038005,2795.72,
Dodla Dairy Ltd.,DODLA,DODLA,Agriculture & Food Processing,5546.687335918999,2218.67,
Heritage Foods Ltd.,HERITGFOOD,HERITGFOOD,Agriculture & Food Processing,3415.695364878,1366.28,
Maruti Suzuki India Ltd.,MARUTI,MARUTI,Automobiles & Auto Components,369377.1371020235,147750.85,
Mahindra & Mahindra Ltd.,M&M,M&M,Automobiles & Auto Components,259332.67760608898,103733.07,
Bajaj Auto Ltd.,BAJAJ-AUTO,BAJAJ-AUTO,Automobiles & Auto Components,240622.20553986297,96248.88,
Eicher Motors Ltd.,EICHERMOT,EICHERMOT,Automobiles & Auto Components,115281.099219479,46112.44,
TVS Motor Company Ltd.,TVSMOTOR,TVSMOTOR,Automobiles & Auto Components,101275.5698570445,40510.23,
Hero MotoCorp Ltd.,HEROMOTOCO,HEROMOTOCO,Automobiles & Auto Components,94909.8344495865,37963.93,
Samvardhana Motherson International Ltd.,MOTHERSON,MOTHERSON,Automobiles & Auto Components,86734.436512444,34693.77,
Bosch Ltd.,BOSCHLTD,BOSCHLTD,Automobiles & Auto Components,84325.0981525725,33730.04,
Tube Investments of India Ltd.,TIINDIA,TIINDIA,Automobiles & Auto Components,72746.3071165865,29098.52,
Bharat Forge Ltd.,BHARATFORG,BHARATFORG,Automobiles & Auto Components,60884.525940669,24353.81,
MRF Ltd.,MRF,MRF,Automobiles & Auto Components,57066.67723903,22826.67,
Schaeffler India Ltd.,SCHAEFFLER,SCHAEFFLER,Automobiles & Auto Components,54732.2262442345,21892.89,
Balkrishna Industries Ltd.,BALKRISIND,BALKRISIND,Automobiles & Auto Components,49904.936966996,19961.97,
UNO Minda Ltd.,UNOMINDA,UNOMINDA,Automobiles & Auto Components,42818.118607665005,17127.25,
Sona BLW Precision Forgings Ltd.,SONACOMS,SONACOMS,Automobiles & Auto Components,37438.339359489,14975.34,
Exide Industries Ltd.,EXIDEIND,EXIDEIND,Automobiles & Auto Components,33779.3770325205,13511.75,
Apollo Tyres Ltd.,APOLLOTYRE,APOLLOTYRE,Automobiles & Auto Components,31306.685858525503,12522.67,
Motherson Sumi Wiring India Ltd.,MSUMI,MSUMI,Automobiles & Auto Components,30099.8108401975,12039.92,
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,ZFCVINDIA,Automobiles & Auto Components,28768.7841992,11507.51,
Endurance Technologies Ltd.,ENDURANCE,ENDURANCE,Automobiles & Auto Components,28618.877983929997,11447.55,
Sundram Fasteners Ltd.,SUNDRMFAST,SUNDRMFAST,Automobiles & Auto Components,24435.8435997205,9774.34,
JBM Auto Ltd.,JBMA,JBMA,Automobiles & Auto Components,22855.2778598365,9142.11,
CIE Automotive India Ltd.,CIEINDIA,CIEINDIA,Automobiles & Auto Components,18697.027522367,7478.81,
Amara Raja Energy & Mobility Ltd.,ARE&M,ARE&M,Automobiles & Auto Components,17575.8582869085,7030.34,
Olectra Greentech Ltd.,OLECTRA,OLECTRA,Automobiles & Auto Components,14578.309484984,5831.32,
Asahi India Glass Ltd.,ASAHIINDIA,ASAHIINDIA,Automobiles & Auto Components,13966.2691236015,5586.51,
Ramkrishna Forgings Ltd.,RKFORGE,RKFORGE,Automobiles & Auto Components,13297.569996401999,5319.03,
JK Tyre & Industries Ltd.,JKTYRE,JKTYRE,Automobiles & Auto Components,11367.723384913501,4547.09,
Ceat Ltd.,CEATLTD,CEATLTD,Automobiles & Auto Components,10430.6203215545,4172.25,
Minda Corporation Ltd.,MINDACORP,MINDACORP,Automobiles & Auto Components,9970.524232198,3988.21,
Force Motors Ltd.,FORCEMOT,FORCEMOT,Automobiles & Auto Components,9739.907028628,3895.96,
Craftsman Automation Ltd.,CRAFTSMAN,CRAFTSMAN,Automobiles & Auto Components,9422.107583605,3768.84,
Varroc Engineering Ltd.,VARROC,VARROC,Automobiles & Auto Components,8339.050172244,3335.62,
Shriram Pistons & Rings Ltd.,544344,SHRIPISTON,Automobiles & Auto Components,8063.0,3225.2,
ASK Automotive Ltd.,ASKAUTOLTD,ASKAUTOLTD,Automobiles & Auto Components,5954.1088352315,2381.64,
Sansera Engineering Ltd.,SANSERA,SANSERA,Automobiles & Auto Components,5596.7878325705005,2238.72,
Gabriel India Ltd.,GABRIEL,GABRIEL,Automobiles & Auto Components,5340.6247947715,2136.25,
Pricol Ltd.,PRICOLLTD,PRICOLLTD,Automobiles & Auto Components,5023.9851055785,2009.59,
Jamna Auto Industries Ltd.,JAMNAAUTO,JAMNAAUTO,Automobiles & Auto Components,4960.0303104915,1984.01,
Banco Products (India) Ltd.,BANCOINDIA,BANCOINDIA,Automobiles & Auto Components,4546.6898130945,1818.68,
Sharda Motor Industries Ltd.,SHARDAMOTR,SHARDAMOTR,Automobiles & Auto Components,4398.165881805,1759.27,
Lumax Auto Technologies Ltd.,LUMAXTECH,LUMAXTECH,Automobiles & Auto Components,3117.632337387,1247.05,
Fiem Industries Ltd,FIEMIND,FIEMIND,Automobiles & Auto Components,3090.7892930830003,1236.32,
Ather Energy Ltd.,544397,ATHERENERG,Automobiles & Auto Components,0.0,0.0,
Belrise Industries Ltd.,544405,BELRISE,Automobiles & Auto Components,0.0,0.0,
Hyundai Motor India Ltd.,544274,HYUNDAI,Automobiles & Auto Components,0.0,0.0,
Ola Electric Mobility Ltd.,544225,OLAELEC,Automobiles & Auto Components,0.0,0.0,
Tata Motors Passenger Vehicles Ltd.,500570,TMPV,Automobiles & Auto Components,0.0,0.0,
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,SUNPHARMA,Pharmaceuticals,358830.1546076645,143532.06,
Cipla Ltd.,CIPLA,CIPLA,Pharmaceuticals,115378.97634712,46151.59,
Divi's Laboratories Ltd.,DIVISLAB,DIVISLAB,Pharmaceuticals,102932.95474691401,41173.18,
Dr. Reddy's Laboratories Ltd.,DRREDDY,DRREDDY,Pharmaceuticals,101145.5816865605,40458.23,
Zydus Lifesciences Ltd.,ZYDUSLIFE,ZYDUSLIFE,Pharmaceuticals,94276.304963462,37710.52,
Torrent Pharmaceuticals Ltd.,TORNTPHARM,TORNTPHARM,Pharmaceuticals,88721.070050361,35488.43,
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,APOLLOHOSP,Pharmaceuticals,88420.4581011975,35368.18,
Mankind Pharma Ltd.,MANKIND,MANKIND,Pharmaceuticals,87511.44485326699,35004.58,
Max Healthcare Institute Ltd.,MAXHEALTH,MAXHEALTH,Pharmaceuticals,78001.2712960385,31200.51,
Lupin Ltd.,LUPIN,LUPIN,Pharmaceuticals,71814.89639876201,28725.96,
Aurobindo Pharma Ltd.,AUROPHARMA,AUROPHARMA,Pharmaceuticals,65653.6028108465,26261.44,
Alkem Laboratories Ltd.,ALKEM,ALKEM,Pharmaceuticals,60424.7879990855,24169.92,
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,GLAXO,Pharmaceuticals,37373.793236538506,14949.52,
Biocon Ltd.,BIOCON,BIOCON,Pharmaceuticals,34713.613243902495,13885.45,
Global Health Ltd.,MEDANTA,MEDANTA,Pharmaceuticals,34044.047579379505,13617.62,
Fortis Healthcare Ltd.,FORTIS,FORTIS,Pharmaceuticals,33052.872856092,13221.15,
Ipca Laboratories Ltd.,IPCALAB,IPCALAB,Pharmaceuticals,30639.616790555,12255.85,
Gland Pharma Ltd.,GLAND,GLAND,Pharmaceuticals,30340.1426519445,12136.06,
Syngene International Ltd.,SYNGENE,SYNGENE,Pharmaceuticals,28408.150323812,11363.26,
Ajanta Pharmaceuticals Ltd.,AJANTPHARM,AJANTPHARM,Pharmaceuticals,28346.963619172,11338.79,
Glenmark Pharmaceuticals Ltd.,GLENMARK,GLENMARK,Pharmaceuticals,28149.4093621355,11259.76,
J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JBCHEPHARM,Pharmaceuticals,26589.183422310998,10635.67,
Narayana Hrudayalaya Ltd.,NH,NH,Pharmaceuticals,25914.852958014002,10365.94,
Laurus Labs Ltd.,LAURUSLABS,LAURUSLABS,Pharmaceuticals,22603.070006724498,9041.23,
Aster DM Healthcare Ltd.,ASTERDM,ASTERDM,Pharmaceuticals,20489.9874374485,8195.99,
Dr. Lal Path Labs Ltd.,LALPATHLAB,LALPATHLAB,Pharmaceuticals,20353.491501218,8141.4,
Pfizer Ltd.,PFIZER,PFIZER,Pharmaceuticals,20283.955542357,8113.58,
Alembic Pharmaceuticals Ltd.,APLLTD,APLLTD,Pharmaceuticals,18690.6247059735,7476.25,
Piramal Pharma Ltd.,PPLPHARMA,PPLPHARMA,Pharmaceuticals,18644.451901357497,7457.78,
NATCO Pharma Ltd.,NATCOPHARM,NATCOPHARM,Pharmaceuticals,17649.240639931,7059.7,
Larsen & Toubro Ltd.,LT,LT,Real Estate & Construction,487634.01314880094,195053.61,
DLF Ltd.,DLF,DLF,Real Estate & Construction,209238.920105397,83695.57,
Lodha Developers Ltd.,LODHA,LODHA,Real Estate & Construction,118221.4105710465,47288.56,
Godrej Properties Ltd.,GODREJPROP,GODREJPROP,Real Estate & Construction,70284.1110107815,28113.64,
Rail Vikas Nigam Ltd.,RVNL,RVNL,Real Estate & Construction,59582.411275555,23832.96,
Oberoi Realty Ltd.,OBEROIRLTY,OBEROIRLTY,Real Estate & Construction,55556.587582816,22222.64,
Prestige Estates Projects Ltd.,PRESTIGE,PRESTIGE,Real Estate & Construction,55213.5539484395,22085.42,
Phoenix Mills Ltd.,PHOENIXLTD,PHOENIXLTD,Real Estate & Construction,51690.042356124,20676.02,
IRB Infrastructure Developers Ltd.,IRB,IRB,Real Estate & Construction,37737.5208414635,15095.01,
Brigade Enterprises Ltd.,BRIGADE,BRIGADE,Real Estate & Construction,24440.743071639998,9776.3,
NBCC (India) Ltd.,NBCC,NBCC,Real Estate & Construction,23446.8975609755,9378.76,
IRCON International Ltd.,IRCON,IRCON,Real Estate & Construction,22039.3462130355,8815.74,
Kec International Ltd.,KEC,KEC,Real Estate & Construction,18428.477615101998,7371.39,
Signatureglobal (India) Ltd.,SIGNATURE,SIGNATURE,Real Estate & Construction,17774.875891443502,7109.95,
Kalpataru Projects International Ltd.,KPIL,KPIL,Real Estate & Construction,16851.1617207155,6740.46,
RITES Ltd.,RITES,RITES,Real Estate & Construction,16236.894116538,6494.76,
NCC Ltd.,NCC,NCC,Real Estate & Construction,15574.943874327,6229.98,
Sobha Ltd.,SOBHA,SOBHA,Real Estate & Construction,15344.1702212745,6137.67,
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,SWSOLAR,Real Estate & Construction,14178.945950661,5671.58,
G R Infraprojects Ltd.,GRINFRA,GRINFRA,Real Estate & Construction,13085.808275291001,5234.32,
Engineers India Ltd.,ENGINERSIN,ENGINERSIN,Real Estate & Construction,12772.7952126955,5109.12,
Anant Raj Ltd.,ANANTRAJ,ANANTRAJ,Real Estate & Construction,11891.5730773395,4756.63,
PNC Infratech Ltd.,PNCINFRA,PNCINFRA,Real Estate & Construction,11267.9957791865,4507.2,
Techno Electric & Engineering Company Ltd.,TECHNOE,TECHNOE,Real Estate & Construction,10257.8351626015,4103.13,
Mahindra Lifespace Developers Ltd.,MAHLIFE,MAHLIFE,Real Estate & Construction,9188.120934433999,3675.25,
Avenue Supermarts Ltd.,DMART,DMART,Hospitality & Tourism,278029.0856907845,111211.63,
Trent Ltd.,TRENT,TRENT,Hospitality & Tourism,145215.8384863385,58086.34,
Indian Hotels Co. Ltd.,INDHOTEL,INDHOTEL,Hospitality & Tourism,79115.8546179805,31646.34,
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,IRCTC,Hospitality & Tourism,78372.544715447,31349.02,
Info Edge (India) Ltd.,NAUKRI,NAUKRI,Hospitality & Tourism,72880.225285756,29152.09,
FSN E-Commerce Ventures Ltd.,NYKAA,NYKAA,Hospitality & Tourism,47507.370283192,19002.95,
Jubilant Foodworks Ltd.,JUBLFOOD,JUBLFOOD,Hospitality & Tourism,32255.3044488295,12902.12,
