Company_Name,Facility_ID,Facility_Type,Latitude,Longitude,City,State,Facility_Name
Century Plyboards India Limited,1,Registered Office,22.5141238,88.3142038,Kolkata,West Bengal,Registered Office
Century Plyboards India Limited,2,Corporate Office,22.5726459,88.3638953,Kolkata,West Bengal,Corporate Office
Century Plyboards India Limited,3,Plant,22.3511148,78.6677428,,,Plant
CERA Sanitaryware Limited,1,Registered Office,23.6012628,72.3741516,Mehsana,Gujarat,Registered Office
CERA Sanitaryware Limited,2,Corporate Office,23.0215374,72.5800568,Ahmedabad,Gujarat,Corporate Office
CESC Limited,1,Registered Office,22.5726459,88.3638953,Kolkata,West Bengal,Registered Office
CE INFO SYSTEMS LIMITED,1,Registered Office,28.6138954,77.2090057,Delhi,Delhi,Registered Office
CE INFO SYSTEMS LIMITED,2,Corporate Office,28.6138954,77.2090057,Delhi,Delhi,Corporate Office
CG Power and Industrial Solutions Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
Chalet Hotels Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
Chemplast Sanmar Limited,1,Registered Office,13.0836939,80.270186,Chennai,Tamil Nadu,Registered Office
CHENNAI PETROLEUM CORPORATION LIMITED,1,Registered Office,13.0836939,80.270186,Chennai,Tamil Nadu,Registered Office
Cholamandalam Financial Holdings Limited,1,Registered Office,13.0836939,80.270186,Chennai,Tamil Nadu,Registered Office
Cholamandalam Investment and Finance Company Limited,1,Registered Office,13.0836939,80.270186,Chennai,Tamil Nadu,Registered Office
CIE AUTOMOTIVE INDIA LIMITED,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
CIE AUTOMOTIVE INDIA LIMITED,2,Corporate Office,18.5213738,73.8545071,Pune,Maharashtra,Corporate Office
Cipla Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
Cipla Limited,2,Plant,30.9763026,76.7674001,Baddi,,Plant
CITY UNION BANK LIMITED,1,Registered Office,11.3323723,78.6098639,,Tamil Nadu,Registered Office
CITY UNION BANK LIMITED,2,Corporate Office,22.3511148,78.6677428,,,Corporate Office
Clean Science and Technology Limited,1,Registered Office,18.5213738,73.8545071,Pune,Maharashtra,Registered Office
COAL INDIA LIMITED,1,Registered Office,22.5726459,88.3638953,Kolkata,West Bengal,Registered Office
Cochin Shipyard Limited,1,Registered Office,9.9679032,76.2444378,Kochi,Kerala,Registered Office
Coforge Limited,1,Registered Office,28.4646148,77.0299194,Gurugram,Haryana,Registered Office
Coforge Limited,2,Corporate Office,28.5706333,77.3272147,Noida,Uttar Pradesh,Corporate Office
Computer Age Management Services Limited,1,Registered Office,13.0836939,80.270186,Chennai,Tamil Nadu,Registered Office
Computer Age Management Services Limited,2,Corporate Office,13.0836939,80.270186,Chennai,Tamil Nadu,Corporate Office
Concord Biotech Limited,1,Registered Office,23.0215374,72.5800568,Ahmedabad,Gujarat,Registered Office
Concord Biotech Limited,2,Corporate Office,23.0215374,72.5800568,Ahmedabad,Gujarat,Corporate Office
Container Corporation of India Limited,1,Registered Office,28.6138954,77.2090057,Delhi,Delhi,Registered Office
COROMANDEL INTERNATIONAL LIMITED,1,Registered Office,22.3511148,78.6677428,,,Registered Office
COROMANDEL INTERNATIONAL LIMITED,2,Corporate Office,13.0836939,80.270186,Chennai,Tamil Nadu,Corporate Office
COROMANDEL INTERNATIONAL LIMITED,3,Plant,24.578721,73.6862571,Udaipur,Rajasthan,Plant
Craftsman Automation Limited,1,Registered Office,11.0018115,76.9628425,Coimbatore,Tamil Nadu,Registered Office
Craftsman Automation Limited,2,Corporate Office,11.0018115,76.9628425,Coimbatore,Tamil Nadu,Corporate Office
CreditAccess Grameen Limited,1,Registered Office,12.9767936,77.590082,Bengaluru,Karnataka,Registered Office
Crisil Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
Crisil Limited,2,Corporate Office,19.054999,72.8692035,Mumbai,Maharashtra,Corporate Office
Crisil Limited,3,Plant,19.7009021,72.7887168,Ahmedabad,Maharashtra,Plant
Crisil Limited,4,Facility,19.054999,72.8692035,Mumbai,Maharashtra,Facility
Crompton Greaves Consumer Electricals Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
Cummins India Limited,1,Registered Office,18.5213738,73.8545071,Pune,Maharashtra,Registered Office
Cyient Limited,1,Registered Office,17.360589,78.4740613,Hyderabad,Telangana,Registered Office
Cyient Limited,2,Corporate Office,17.360589,78.4740613,Hyderabad,Telangana,Corporate Office
Dabur India Limited,1,Registered Office,28.6138954,77.2090057,Delhi,Delhi,Registered Office
Dabur India Limited,2,Corporate Office,28.7749966,77.4586967,Ghaziabad,Uttar Pradesh,Corporate Office
Dabur India Limited,3,Plant,25.1389373,75.8445005,Indore,Rajasthan,Plant
Dabur India Limited,4,Facility,27.1303344,80.859666,,Uttar Pradesh,Facility
